PID; W; D; Wr; Dr; tot; Target; Start; End; MouseDown; Error; Browser; OS; Invisible; Block; WorkerID; Platform; HIT;
0; 24.15; 322; 6; 80; 10; 1; 1428517118999; 1428517119823; 1428517119695; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 6; 1428517119823; 1428517120598; 1428517120553; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 2; 1428517120598; 1428517121555; 1428517121460; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 7; 1428517121555; 1428517200403; 1428517200283; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 3; 1428517200403; 1428517201372; 1428517201228; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 8; 1428517201372; 1428517203085; 1428517203004; 1; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 4; 1428517203085; 1428517203972; 1428517203884; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 9; 1428517203972; 1428517204700; 1428517204621; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 5; 1428517204700; 1428517205489; 1428517205385; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 24.15; 322; 6; 80; 10; 0; 1428517205489; 1428517206424; 1428517206297; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 1; 1428517208657; 1428517209339; 1428517209219; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 6; 1428517209339; 1428517209890; 1428517209779; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 2; 1428517209890; 1428517210378; 1428517210283; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 7; 1428517210378; 1428517210842; 1428517210763; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 3; 1428517210842; 1428517211371; 1428517211251; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 8; 1428517211371; 1428517211794; 1428517211699; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 4; 1428517211794; 1428517213403; 1428517213291; 2; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 9; 1428517213403; 1428517214139; 1428517214052; 1; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
0; 48.3; 161; 12; 40; 10; 5; 1428517214139; 1428517214816; 1428517214728; 0; Chrome; MacOS; 1; 1;52323;crowdflower; ; 
