PID; W; D; Wr; Dr; tot; Target; Start; End; MouseDown; Error; Browser; OS; Invisible; Block; WorkerID; Platform;
0; 7.83; 104.4; 3; 40; 10; 1; 1428497836067; 1428497836800; 1428497836688; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 6; 1428497836800; 1428497838250; 1428497838131; 1; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 2; 1428497838250; 1428497839035; 1428497838932; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 7; 1428497839035; 1428497842657; 1428497842547; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 3; 1428497842657; 1428497843540; 1428497843428; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 8; 1428497843540; 1428497844421; 1428497844349; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 4; 1428497844421; 1428497845262; 1428497845167; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 9; 1428497845262; 1428497846259; 1428497846173; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 5; 1428497846259; 1428497847037; 1428497846934; 0; Chrome; MacOS; 1; 1;12345;crowdflower
0; 7.83; 104.4; 3; 40; 10; 0; 1428497847037; 1428497847911; 1428497847767; 0; Chrome; MacOS; 1; 1;12345;crowdflower
