PID; W; D; Wr; Dr; tot; Target; Start; End; MouseDown; Error; Browser; OS; Invisible; Block; WorkerID; Platform; HIT;
0; 7.83; 104.4; 3; 40; 10; 1; 1428511876997; 1428511877798; 1428511877669; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 6; 1428511877798; 1428511878614; 1428511878518; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 2; 1428511878614; 1428511879359; 1428511879256; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 7; 1428511879359; 1428511880209; 1428511880105; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 3; 1428511880209; 1428511881138; 1428511881066; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 8; 1428511881138; 1428511883000; 1428511882880; 2; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 4; 1428511883000; 1428511883905; 1428511883817; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 9; 1428511883905; 1428511884755; 1428511884650; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 5; 1428511884755; 1428511885451; 1428511885380; 0; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
0; 7.83; 104.4; 3; 40; 10; 0; 1428511885451; 1428511887197; 1428511887102; 1; Chrome; MacOS; 1; 1;62345;crowdflower; ; 
